王静宜	ཝང་ཅིང་ཡི་
稻森泉	ཏའོ་སེན་ཆོན་
坂本真绫	པན་པེན་ཀྲེན་ལིང་
栗山千明	ལི་ཧྲན་ཆན་མིང་
前田爱	ཆན་ཐན་ཨའེ་
惠美梨	ཧུའེ་མེ་ལི་
上野树里	ཧྲང་ཡེ་ཧྲུའུ་ལི་
铃木爱理	ལིང་མུའུ་ཨའེ་ལི་
横山智佐	ཧེང་ཧྲན་ཀྲི་ཙུའོ་
边见绘美里	པན་ཅན་ཧུའེ་མེ་ལི་
小泉希良梨	ཞའོ་ཆོན་ཞི་ལང་ལི་
后藤久美子	ཧོའུ་ཐེང་ཅིའུ་མེ་ཙི་
京乃亚津沙	ཅིང་ནའེ་ཡ་ཅིན་ཧྲ་
久保阳子	ཅིའུ་པའོ་ཡང་ཙི་
渡边羊香	ཏུའུ་པན་ཡང་ཞང་
平泽优花	ཕིང་ཙེ་ཡོའུ་ཧྭ་
亚衣	ཡ་ཡི་
相原爱	ཞང་ཡོན་ཨའེ་
青木爱	ཅིང་མུའུ་ཨའེ་
藤本爱	ཐེང་པེན་ཨའེ་
藤田爱	ཐེང་ཐན་ཨའེ་
深井	ཧྲེན་ཅིང་
深谷爱	ཧྲེན་ཀུའུ་ཨའེ་
长谷川爱	ཁྲང་ཀུའུ་ཁྲོན་ཨའེ་
羽山亚衣	ཡུས་ཧྲན་ཡ་ཡི་
桥本爱	ཆའོ་པེན་ཨའེ་
叶月	ཡེ་ཡུའེ་
瞳爱	ཐུང་ཨའེ་
饭岛恋	ཧྥན་ཏའོ་ལན་
一藤木爱	ཡི་ཐེང་མུའུ་ཨའེ་
岩崎爱	ཡན་ཆི་ཨའེ་
加护亚衣	ཅ་ཧུའུ་ཡ་ཡི་
春日爱	ཁྲུན་རི་ཨའེ་
河合爱	ཧེ་ཧེ་ཨའེ་
喜多见爱	ཞི་ཏུའོ་ཅན་ཨའེ་
菊池	ཅུས་ཁྲི་
小林爱	ཞའོ་ལིན་ཨའེ་
小森爱	ཞའོ་སེན་ཨའེ་
松元爱	སུང་ཡོན་ཨའེ་
三宅亚依	སན་ཀྲའེ་ཡ་ཡི་
水原爱	ཧྲུའེ་ཡོན་ཨའེ་
野木爱	ཡེ་མུའུ་ཨའེ་
中山爱	ཀྲུང་ཧྲན་ཨའེ་
中冢爱	ཀྲུང་ཀྲུང་ཨའེ་
奈奈濑爱	ནའེ་ནའེ་ལའེ་ཨའེ་
西岛爱	ཞི་ཏའོ་ཨའེ་
日户爱	རི་ཧུའུ་ཨའེ་
折笠爱	ཀྲེ་ལི་ཨའེ་
坂上亚衣	པན་ཧྲང་ཡ་ཡི་
早乙女爱	ཙའོ་ཡི་ནུས་ཨའེ་
柴田爱	ཁྲའེ་ཐན་ཨའེ་
真川爱	ཀྲེན་ཁྲོན་ཨའེ་
白圣爱	པའེ་ཧྲེང་ཨའེ་
和田爱	ཧེ་ཐན་ཨའེ་
徳永爱	徳་ཡུང་ཨའེ་
若野爱	རུའོ་ཡེ་ཨའེ་
渡边亚以	ཏུའུ་པན་ཡ་སི་
立石爱	ལི་ཧྲི་ཨའེ་
高松亚衣	ཀའོ་སུང་ཡ་ཡི་
爱彩	ཨའེ་ཚའེ་
山口爱	ཧྲན་ཁོའུ་ཨའེ་
横山爱	ཧེང་ཧྲན་ཨའེ་
米谷爱可	མི་ཀུའུ་ཨའེ་ཁེ་
观月爱香	ཀོན་ཡུའེ་ཨའེ་ཞང་
大野爱果	ཏ་ཡེ་ཨའེ་ཀུའོ་
平山爱子	ཕིང་ཧྲན་ཨའེ་ཙི་
中森	ཀྲུང་སེན་
川村子	ཁྲོན་ཚུན་ཙི་
堀切	ཁུའུ་ཆེ་
小川爱子	ཞའོ་ཁྲོན་ཨའེ་ཙི་
泽崎爱子	ཙེ་ཆི་ཨའེ་ཙི་
松永爱子	སུང་ཡུང་ཨའེ་ཙི་
五十岚爱子	ཝུའུ་ཧྲི་ལན་ཨའེ་ཙི་
上村爱子	ཧྲང་ཚུན་ཨའེ་ཙི་
森下爱子	སེན་ཞ་ཨའེ་ཙི་
胜又亚依子	ཧྲེང་ཡོའུ་ཡ་ཡི་ཙི་
山田爱子	ཧྲན་ཐན་ཨའེ་ཙི་
矢野爱子	ཧྲི་ཡེ་ཨའེ་ཙི་
佐佐木爱子	ཙུའོ་ཙུའོ་མུའུ་ཨའེ་ཙི་
盛内爱子	ཧྲེང་ནེ་ཨའེ་ཙི་
爱川爱美	ཨའེ་ཁྲོན་ཨའེ་མེ་
芳本爱子	ཧྥང་པེན་ཨའེ་ཙི་
汤川爱子	ཐང་ཁྲོན་ཨའེ་ཙི་
吉泽明子	ཅི་ཙེ་མིང་ཙི་
上田爱美	ཧྲང་ཐན་ཨའེ་མེ་
美奈美	མེ་ནའེ་མེ་
西秋爱菜	ཞི་ཆིའུ་ཨའེ་ཚའེ་
爱梨	ཨའེ་ལི་
加护爱里	ཅ་ཧུའུ་ཨའེ་ལི་
石川爱理	ཧྲི་ཁྲོན་ཨའེ་ལི་
藤原杏里	ཐེང་ཡོན་ཞིང་ལི་
三田爱里	སན་ཐན་ཨའེ་ལི་
水野爱里	ཧྲུའེ་ཡེ་ཨའེ་ལི་
中山爱里	ཀྲུང་ཧྲན་ཨའེ་ལི་
千田爱纱	ཆན་ཐན་ཨའེ་ཧྲ་
山下爱子	ཧྲན་ཞ་ཨའེ་ཙི་
广田朱音	ཀོང་ཐན་ཀྲུའུ་ཡིན་
木村茜	མུའུ་ཚུན་ཞི་
北野茜	པེ་ཡེ་ཞི་
樱井茜	ཡིང་ཅིང་ཞི་
西田茜	ཞི་ཐན་ཞི་
小田茜	ཞའོ་ཐན་ཞི་
矢野惠子	ཧྲི་ཡེ་ཧུའེ་ཙི་
町山茜	ཐིང་ཧྲན་ཞི་
爱香里	ཨའེ་ཞང་ལི་
细田明	ཞི་ཐན་མིང་
田村友香根	ཐན་ཚུན་ཡོའུ་ཞང་ཀེན་
真部明美	ཀྲེན་པུའུ་མིང་མེ་
今村朱美	ཅིན་ཚུན་ཀྲུའུ་མེ་
庆田朱美	ཆིང་ཐན་ཀྲུའུ་མེ་
和田亚香音	ཧེ་ཐན་ཡ་ཞང་ཡིན་
森田朱美	སེན་ཐན་ཀྲུའུ་མེ་
齐藤明美	ཆི་ཐེང་མིང་མེ་
梶原亚纪	ཝེ་ཡོན་ཡ་ཅི་
吉泽茜	ཅི་ཙེ་ཞི་
原田亚希	ཡོན་ཐན་ཡ་ཞི་
河村亚纪	ཧེ་ཚུན་ཡ་ཅི་
若月亚香里	རུའོ་ཡུའེ་ཡ་ཞང་ལི་
饭田亚希	ཧྥན་ཐན་ཡ་ཞི་
石黑亚希	ཧྲི་ཧེ་ཡ་ཞི་
山咲亚香里	ཧྲན་ཞའོ་ཡ་ཞང་ལི་
向井亚纪	ཞང་ཅིང་ཡ་ཅི་
中野亚希	ཀྲུང་ཡེ་ཡ་ཞི་
新关亚希	ཞིན་ཀོན་ཡ་ཞི་
西原亚希	ཞི་ཡོན་ཡ་ཞི་
小口亚纪	ཞའོ་ཁོའུ་ཡ་ཅི་
冈田亚希	ཀང་ཐན་ཡ་ཞི་
大泽安希	ཏ་ཙེ་ཨན་ཞི་
佐藤亚希	ཙུའོ་ཐེང་ཡ་ཞི་
泽宫友希	ཙེ་ཀུང་ཡོའུ་ཞི་
清水亚纪	ཆིང་ཧྲུའེ་ཡ་ཅི་
樱冢晶	ཡིང་ཀྲུང་ཅིང་
堤亚希	ཏི་ཡ་ཞི་
寺岛亚希	སི་ཏའོ་ཡ་ཞི་
友永亚希	ཡོའུ་ཡུང་ཡ་ཞི་
高仓明穗	ཀའོ་ཚང་མིང་སུའེ་
矢崎杏来	ཧྲི་ཆི་ཞིང་ལའེ་
米田有希	མི་ཐན་ཡོའུ་ཞི་
吉田亚纪	ཅི་ཐན་ཡ་ཅི་
由月亚季	ཡོའུ་ཡུའེ་ཡ་ཅི་
比护晶帆	པི་ཧུའུ་ཅིང་ཧྥན་
平松晶子	ཕིང་སུང་ཅིང་ཙི་
爱子	ཨའེ་ཙི་
吉泽秋绘	ཅི་ཙེ་ཆིའུ་ཧུའེ་
千叶映子	ཆན་ཡེ་ཡིང་ཙི་
伊藤亚希子	ཡི་ཐེང་ཡ་ཞི་ཙི་
本田明子	པེན་ཐན་མིང་ཙི་
洼田明子	ཝ་ཐན་མིང་ཙི་
海津晶子	ཧའེ་ཅིན་ཅིང་ཙི་
川野亚希	ཁྲོན་ཡེ་ཡ་ཞི་
真山章子	ཀྲེན་ཧྲན་ཀྲང་ཙི་
黑柳晶子	ཧེ་ལིའུ་ཅིང་ཙི་
冈亚希子	ཀང་ཡ་ཞི་ཙི་
中村晃子	ཀྲུང་ཚུན་ཧོང་ཙི་
三田亚希子	སན་ཐན་ཡ་ཞི་ཙི་
松元明子	སུང་ཡོན་མིང་ཙི་
铃木亚纪	ལིང་མུའུ་ཡ་ཅི་
新村明子	ཞིན་ཚུན་མིང་ཙི་
宫崎亚希子	ཀུང་ཆི་ཡ་ཞི་ཙི་
中川亚纪子	ཀྲུང་ཁྲོན་ཡ་ཅི་ཙི་
高以亚希	ཀའོ་སི་ཡ་ཞི་
仁科明子	རེན་ཁེ་མིང་ཙི་
冈村亚纪子	ཀང་ཚུན་ཡ་ཅི་ཙི་
西村亚纪子	ཞི་ཚུན་ཡ་ཅི་ཙི་
和田现子	ཧེ་ཐན་ཞན་ཙི་
菅原晶子	ཅན་ཡོན་ཅིང་ཙི་
关根安希子	ཀོན་ཀེན་ཨན་ཞི་ཙི་
西山明子	ཞི་ཧྲན་མིང་ཙི་
矢田亚希	ཧྲི་ཐན་ཡ་ཞི་
渡边亚纪子	ཏུའུ་པན་ཡ་ཅི་ཙི་
樱川明子	ཡིང་ཁྲོན་མིང་ཙི་
青木秋美	ཅིང་མུའུ་ཆིའུ་མེ་
八木亚希	པ་མུའུ་ཡ་ཞི་
矢岛晶子	ཧྲི་ཏའོ་ཅིང་ཙི་
若松亚希子	རུའོ་སུང་ཡ་ཞི་ཙི་
濑户秋美	ལའེ་ཧུའུ་ཆིའུ་མེ་
吉野晶子	ཅི་ཡེ་ཅིང་ཙི་
吉田爱子	ཅི་ཐན་ཨའེ་ཙི་
吉川明子	ཅི་ཁྲོན་མིང་ཙི་
神谷明	ཧྲེན་ཀུའུ་མིང་
汤川章子	ཐང་ཁྲོན་ཀྲང་ཙི་
吉冈亚希子	ཅི་ཀང་ཡ་ཞི་ཙི་
新美明	ཞིན་མེ་མིང་
北泽晶	པེ་ཙེ་ཅིང་
吉田明	ཅི་ཐན་མིང་
渡边哲世	ཏུའུ་པན་ཀྲེ་ཧྲི་
刀奈晃代	ཏའོ་ནའེ་ཧོང་ཏའེ་
筱木亚子	ཞའོ་མུའུ་ཡ་ཙི་
观月亚理沙	ཀོན་ཡུའེ་ཡ་ལི་ཧྲ་
秋吉契里	ཆིའུ་ཅི་ཆི་ལི་
久保亚子	ཅིའུ་པའོ་ཡ་ཙི་
都筑亚子	ཏུའུ་ཀྲུའུ་ཡ་ཙི་
藤泽亚美	ཐེང་ཙེ་ཡ་མེ་
千叶亚梨沙	ཆན་ཡེ་ཡ་ལི་ཧྲ་
亚美	ཡ་མེ་
爱川亚美	ཨའེ་ཁྲོན་ཡ་མེ་
小野田亚美	ཞའོ་ཡེ་ཐན་ཡ་མེ་
秋山亚美	ཆིའུ་ཧྲན་ཡ་མེ་
鲇川亚美	ནན་ཁྲོན་ཡ་མེ་
水谷亚美	ཧྲུའེ་ཀུའུ་ཡ་མེ་
柴田亚美	ཁྲའེ་ཐན་ཡ་མེ་
滨崎亚美	པིན་ཆི་ཡ་མེ་
中川爱海	ཀྲུང་ཁྲོན་ཨའེ་ཧའེ་
杉浦爱美	ཧྲན་ཕུའུ་ཨའེ་མེ་
日向亚美	རི་ཞང་ཡ་མེ་
石井亚实	ཧྲི་ཅིང་ཡ་ཧྲི་
大贯亚美	ཏ་ཀོན་ཡ་མེ་
系筱亚美	ཞི་ཞའོ་ཡ་མེ་
翔野亚美	ཞང་ཡེ་ཡ་མེ་
吉冈爱美	ཅི་ཀང་ཨའེ་མེ་
和田爱美	ཧེ་ཐན་ཨའེ་མེ་
世永亚实	ཧྲི་ཡུང་ཡ་ཧྲི་
齐藤杏树	ཆི་ཐེང་ཞིང་ཧྲུའུ་
津村亚纪	ཅིན་ཚུན་ཡ་ཅི་
福安杏奈	ཧྥུའུ་ཨན་ཞིང་ནའེ་
八反安未果	པ་ཧྥན་ཨན་ཝེ་ཀུའོ་
樱井杏	ཡིང་ཅིང་ཞིང་
真咲美羽	ཀྲེན་ཞའོ་མེ་ཡུས་
真崎爱美	ཀྲེན་ཆི་ཨའེ་མེ་
西村安见子	ཞི་ཚུན་ཨན་ཅན་ཙི་
铃木杏树	ལིང་མུའུ་ཞིང་ཧྲུའུ་
钵岭杏奈	པོ་ལིང་ཞིང་ནའེ་
姫树杏奈	ཅི་ཧྲུའུ་ཞིང་ནའེ་
星安奈	ཞིང་ཨན་ནའེ་
美月安奈	མེ་ཡུའེ་ཨན་ནའེ་
永田杏奈	ཡུང་ཐན་ཞིང་ནའེ་
榊安奈	ཧྲེན་ཨན་ནའེ་
高见泽杏奈	ཀའོ་ཅན་ཙེ་ཞིང་ནའེ་
梅宫安娜	མེ་ཀུང་ཨན་ནུའོ་
铃木杏	ལིང་མུའུ་ཞིང་
杏里	ཞིང་ལི་
伴杏里	པན་ཞིང་ལི་
饭岛杏里	ཧྥན་ཏའོ་ཞིང་ལི་
岩崎杏里	ཡན་ཆི་ཞིང་ལི་
大冢安里	ཏ་ཀྲུང་ཨན་ལི་
青木菜惠	ཅིང་མུའུ་ཚའེ་ཧུའེ་
田中碧	ཐན་ཀྲུང་པི་
神崎葵	ཧྲེན་ཆི་ཁུའེ་
紫葵	ཙི་ཁུའེ་
白石葵	པའེ་ཧྲི་ཁུའེ་
立花葵	ལི་ཧྭ་ཁུའེ་
高荒葵	ཀའོ་ཧོང་ཁུའེ་
荒井美惠子	ཧོང་ཅིང་མེ་ཧུའེ་ཙི་
新垣仁绘	ཞིན་ཡོན་རེན་ཧུའེ་
佐藤亚里香	ཙུའོ་ཐེང་ཡ་ལི་ཞང་
木村亚利奈	མུའུ་ཚུན་ཡ་ལི་ནའེ་
姬乃爱里沙	ཅི་ནའེ་ཨའེ་ལི་ཧྲ་
古贺亚理沙	ཀུའུ་ཧེ་ཡ་ལི་ཧྲ་
真木爱里沙	ཀྲེན་མུའུ་ཨའེ་ལི་ཧྲ་
直木亚里沙	ཀྲི་མུའུ་ཡ་ལི་ཧྲ་
仲间爱里纱	ཀྲུང་ཅན་ཨའེ་ལི་ཧྲ་
美咲亚沙	མེ་ཞའོ་ཡ་ཧྲ་
麻田奈美	མ་ཐན་ནའེ་མེ་
工藤亚树	ཀུང་ཐེང་ཡ་ཧྲུའུ་
树亚采子	ཧྲུའུ་ཡ་ཚའེ་ཙི་
西村麻子	ཞི་ཚུན་མ་ཙི་
内田亚纱子	ནེ་ཐན་ཡ་ཧྲ་ཙི་
吉浦麻子	ཅི་ཕུའུ་མ་ཙི་
杨思敏	ཡང་སི་མིན་
绀野麻美	ཀན་ཡེ་མ་མེ་
桂亚沙美	ཀུའེ་ཡ་ཧྲ་མེ་
熊切亚沙美	ཞུང་ཆེ་ཡ་ཧྲ་མེ་
浅田真子	ཆན་ཐན་ཀྲེན་ཙི་
水川亚沙美	ཧྲུའེ་ཁྲོན་ཡ་ཧྲ་མེ་
浅海成亚	ཆན་ཧའེ་ཁྲེང་ཡ་
西野麻美	ཞི་ཡེ་མ་མེ་
冈本麻见	ཀང་པེན་མ་ཅན་
柴田	ཁྲའེ་ཐན་
多田亚沙美	ཏུའོ་ཐན་ཡ་ཧྲ་མེ་
谷口麻美	ཀུའུ་ཁོའུ་མ་མེ་
田野亚沙美	ཐན་ཡེ་ཡ་ཧྲ་མེ་
吉泽麻美	ཅི་ཙེ་མ་མེ་
结城麻美	ཅེ་ཁྲེང་མ་མེ་
浅野温子	ཆན་ཡེ་ཝུན་ཙི་
亚沙里	ཡ་ཧྲ་ལི་
福田明日香	ཧྥུའུ་ཐན་མིང་རི་ཞང་
伊藤	ཡི་ཐེང་
加藤	ཅ་ཐེང་
河合明日香	ཧེ་ཧེ་མིང་རི་ཞང་
小泉飞香	ཞའོ་ཆོན་ཧྥེ་ཞང་
柴田麻美	ཁྲའེ་ཐན་མ་མེ་
驹勇明日香	ཅུས་ཡུང་མིང་རི་ཞང་
黑木明日香	ཧེ་མུའུ་མིང་རི་ཞང་
三咲明日香	སན་ཞའོ་མིང་རི་ཞང་
森村明日香	སེན་ཚུན་མིང་རི་ཞང་
南国明日香	ནན་ཀུའོ་མིང་རི་ཞང་
西谷明日香	ཞི་ཀུའུ་མིང་རི་ཞང་
坂卷明日香	པན་ཅོན་མིང་རི་ཞང་
濑户内明日香	ལའེ་ཧུའུ་ནེ་མིང་རི་ཞང་
吹田明日香	ཁྲུའེ་ཐན་མིང་རི་ཞང་
武上明日香	ཝུའུ་ཧྲང་མིང་རི་ཞང་
田中明日香	ཐན་ཀྲུང་མིང་རི་ཞང་
吉田明日香	ཅི་ཐན་མིང་རི་ཞང་
三轮明日美	སན་ལུན་མིང་རི་མེ་
中田亚沙美	ཀྲུང་ཐན་ཡ་ཧྲ་མེ་
石井淳咲	ཧྲི་ཅིང་ཁྲུན་ཞའོ་
石井纯崎	ཧྲི་ཅིང་ཁྲུན་ཆི་
川田淳子	ཁྲོན་ཐན་ཁྲུན་ཙི་
木地谷厚子	མུའུ་ཏི་ཀུའུ་ཧོའུ་ཙི་
前田厚子	ཆན་ཐན་ཧོའུ་ཙི་
栗栖淳子	ལི་ཞི་ཁྲུན་ཙི་
夏木敦子	ཞ་མུའུ་ཏུན་ཙི་
二名敦子	ཨར་མིང་ཏུན་ཙི་
二阶堂敦子	ཨར་ཅེ་ཐང་ཏུན་ཙི་
瑠川淳子	ལིའུ་ཁྲོན་ཁྲུན་ཙི་
樱庭温子	ཡིང་ཐིང་ཝུན་ཙི་
佐佐木敦子	ཙུའོ་ཙུའོ་མུའུ་ཏུན་ཙི་
须藤温子	ཞུས་ཐེང་ཝུན་ཙི་
田中敦子	ཐན་ཀྲུང་ཏུན་ཙི་
渡边敦子	ཏུའུ་པན་ཏུན་ཙི་
广畑亚都美	ཀོང་ཐན་ཡ་ཏུའུ་མེ་
川奈淳美	ཁྲོན་ནའེ་ཁྲུན་མེ་
仓泽敦美	ཚང་ཙེ་ཏུན་མེ་
小田亚摘	ཞའོ་ཐན་ཡ་ཀྲའེ་
和木淳美	ཧེ་མུའུ་ཁྲུན་མེ་
安藤绫	ཨན་ཐེང་ལིང་
藤原亚弥	ཐེང་ཡོན་ཡ་མི་
叶月绫	ཡེ་ཡུའེ་ལིང་
广濑彩	ཀོང་ལའེ་ཚའེ་
久川绫	ཅིའུ་ཁྲོན་ལིང་
石黑彩	ཧྲི་ཧེ་ཚའེ་
片桐绫	ཕན་ཐུང་ལིང་
小金泽亚弥	ཞའོ་ཅིན་ཙེ་ཡ་མི་
国舞亚矢	ཀུའོ་ཝུའུ་ཡ་ཧྲི་
工藤亚耶	ཀུང་ཐེང་ཡ་ཡེ་
国立亚矢	ཀུའོ་ལི་ཡ་ཧྲི་
黑崎绚	ཧེ་ཆི་ཞོན་
松居彩	སུང་ཅུས་ཚའེ་
真弓绫	ཀྲེན་ཀུང་ལིང་
南胜彩	ནན་ཧྲེང་ཚའེ་
美咲亚弥	མེ་ཞའོ་ཡ་མི་
水木彩	ཧྲུའེ་མུའུ་ཚའེ་
永冈彩	ཡུང་ཀང་ཚའེ་
中村彩	ཀྲུང་ཚུན་ཚའེ་
夏目亚弥	ཞ་མུའུ་ཡ་མི་
新滨绫	ཞིན་པིན་ལིང་
西崎彩	ཞི་ཆི་ཚའེ་
太田亚弥	ཐའེ་ཐན་ཡ་མི་
斋藤彩	ཀྲའེ་ཐེང་ཚའེ་
坂上绫	པན་ཧྲང་ལིང་
早乙女彩	ཙའོ་ཡི་ནུས་ཚའེ་
菅原文	ཅན་ཡོན་ཝུན་
杉本彩	ཧྲན་པེན་ཚའེ་
铃木亚弥	ལིང་མུའུ་ཡ་མི་
佐佐木彩	ཙུའོ་ཙུའོ་མུའུ་ཚའེ་
立川绫	ལི་ཁྲོན་ལིང་
竹文彩	ཀྲུའུ་ཝུན་ཚའེ་
田中彩	ཐན་ཀྲུང་ཚའེ་
田中绫	ཐན་ཀྲུང་ལིང་
若林彩	རུའོ་ལིན་ཚའེ་
渡边亚矢	ཏུའུ་པན་ཡ་ཧྲི་
吉井亚弥	ཅི་ཅིང་ཡ་མི་
吉川彩	ཅི་ཁྲོན་ཚའེ་
吉村彩	ཅི་ཚུན་ཚའེ་
吉野绫	ཅི་ཡེ་ལིང་
吉野文	ཅི་ཡེ་ཝུན་
吉冈彩	ཅི་ཀང་ཚའེ་
唯川彩	ཝེ་ཁྲོན་ཚའེ་
彩花	ཚའེ་ཧྭ་
秋山文香	ཆིའུ་ཧྲན་ཝུན་ཞང་
别所彩香	པེ་སུའོ་ཚའེ་ཞང་
饭岛绚香	ཧྥན་ཏའོ་ཞོན་ཞང་
一色彩果	ཡི་སེ་ཚའེ་ཀུའོ་
岩田彩华	ཡན་ཐན་ཚའེ་ཧྭ་
片濑彩夏	ཕན་ལའེ་ཚའེ་ཞ་
松田彩香	སུང་ཐན་ཚའེ་ཞང་
村上绫歌	ཚུན་ཧྲང་ལིང་ཀེ་
村冈绫佳	ཚུན་ཀང་ལིང་ཅ་
西田彩香	ཞི་ཐན་ཚའེ་ཞང་
落合彩华	ལུའོ་ཧེ་ཚའེ་ཧྭ་
斋藤彩夏	ཀྲའེ་ཐེང་ཚའེ་ཞ་
里中彩香	ལི་ཀྲུང་ཚའེ་ཞང་
橘彩华	ཅུས་ཚའེ་ཧྭ་
立花彩香	ལི་ཧྭ་ཚའེ་ཞང་
四方田彩花	སི་ཧྥང་ཐན་ཚའེ་ཧྭ་
吉永彩花	ཅི་ཡུང་ཚའེ་ཧྭ་
西卷文子	ཞི་ཅོན་ཝུན་ཙི་
藤井彩子	ཐེང་ཅིང་ཚའེ་ཙི་
藤雅子	ཐེང་ཡ་ཙི་
藤谷文子	ཐེང་ཀུའུ་ཝུན་ཙི་
福山绫子	ཧྥུའུ་ཧྲན་ལིང་ཙི་
滨田文子	པིན་ཐན་ཝུན་ཙི་
速水彩子	སུའུ་ཧྲུའེ་ཚའེ་ཙི་
本多彩子	པེན་ཏུའོ་ཚའེ་ཙི་
井上绫子	ཅིང་ཧྲང་ལིང་ཙི་
石垣绫子	ཧྲི་ཡོན་ལིང་ཙི་
川村彩子	ཁྲོན་ཚུན་ཚའེ་ཙི་
菊地彩子	ཅུས་ཏི་ཚའེ་ཙི་
木下绫子	མུའུ་ཞ་ལིང་ཙི་
木佐彩子	མུའུ་ཙུའོ་ཚའེ་ཙི་
近藤绫子	ཅིན་ཐེང་ལིང་ཙི་
中元绫子	ཀྲུང་ཡོན་ལིང་ཙི་
根岸绫子	ཀེན་ཨན་ལིང་ཙི་
野上绫子	ཡེ་ཧྲང་ལིང་ཙི་
大村彩子	ཏ་ཚུན་ཚའེ་ཙི་
小野绫子	ཞའོ་ཡེ་ལིང་ཙི་
关本彩子	ཀོན་པེན་ཚའེ་ཙི་
关谷亚矢子	ཀོན་ཀུའུ་ཡ་ཧྲི་ཙི་
杉山彩子	ཧྲན་ཧྲན་ཚའེ་ཙི་
铃木文子	ལིང་མུའུ་ཝུན་ཙི་
当间绫子	ཏང་ཅན་ལིང་ཙི་
渡边亚矢子	ཏུའུ་པན་ཡ་ཧྲི་ཙི་
横井绫子	ཧེང་ཅིང་ལིང་ཙི་
横尾彩子	ཧེང་ཝེ་ཚའེ་ཙི་
野野原彩	ཡེ་ཡེ་ཡོན་ཚའེ་
西田彩女	ཞི་ཐན་ཚའེ་ནུས་
藤咲彩美	ཐེང་ཞའོ་ཚའེ་མེ་
井上彩名	ཅིང་ཧྲང་ཚའེ་མིང་
远藤绫音	ཡོན་ཐེང་ལིང་ཡིན་
大木彩乃	ཏ་མུའུ་ཚའེ་ནའེ་
绫乃	ལིང་ནའེ་
亚波根绫乃	ཡ་པོ་ཀེན་ལིང་ནའེ་
樋口彩乃	ཐུང་ཁོའུ་ཚའེ་ནའེ་
石泽彩乃	ཧྲི་ཙེ་ཚའེ་ནའེ་
加藤绫乃	ཅ་ཐེང་ལིང་ནའེ་
河西绚子	ཧེ་ཞི་ཞོན་ཙི་
片冈雅子	ཕན་ཀང་ཡ་ཙི་
川原亚矢子	ཁྲོན་ཡོན་ཡ་ཧྲི་ཙི་
杉本文乃	ཧྲན་པེན་ཝུན་ནའེ་
杉山彩乃	ཧྲན་ཧྲན་ཚའེ་ནའེ་
高桥彩乃	ཀའོ་ཆའོ་ཚའེ་ནའེ་
鎗田彩野	ཆང་ཐན་ཚའེ་ཡེ་
协山绫乃	ཞེ་ཧྲན་ལིང་ནའེ་
有希彩乃	ཡོའུ་ཞི་ཚའེ་ནའེ་
亚美果鲇	ཡ་མེ་ཀུའོ་ནན་
日比野亚由	རི་པི་ཡེ་ཡ་ཡོའུ་
冈北有由	ཀང་པེ་ཡོའུ་ཡོའུ་
筱原鲇	ཞའོ་ཡོན་ནན་
月丘亚由	ཡུའེ་ཆིའུ་ཡ་ཡོའུ་
芳本麻有	ཧྥང་པེན་མ་ཡོའུ་
布川静枝	པུའུ་ཁྲོན་ཅིང་ཀྲི་
梦咲亚由	མེང་ཞའོ་ཡ་ཡོའུ་
铃木亚由子	ལིང་མུའུ་ཡ་ཡོའུ་ཙི་
安达鲇美	ཨན་ཏ་ནན་མེ་
相崎步美	ཞང་ཆི་པུའུ་མེ་
藤森亚由美	ཐེང་སེན་ཡ་ཡོའུ་མེ་
古山亚由美	ཀུའུ་ཧྲན་ཡ་ཡོའུ་མེ་
原口亚由美	ཡོན་ཁོའུ་ཡ་ཡོའུ་མེ་
日山亚由美	རི་ཧྲན་ཡ་ཡོའུ་མེ་
饭野亚由美	ཧྥན་ཡེ་ཡ་ཡོའུ་མེ་
石黑亚由美	ཧྲི་ཧེ་ཡ་ཡོའུ་མེ་
川北步	ཁྲོན་པེ་པུའུ་
工藤步	ཀུང་ཐེང་པུའུ་
黑泽步	ཧེ་ཙེ་པུའུ་
松川步	སུང་ཁྲོན་པུའུ་
池田步	ཁྲི་ཐན་པུའུ་
村田亚由美	ཚུན་ཐན་ཡ་ཡོའུ་མེ་
中原步	ཀྲུང་ཡོན་པུའུ་
中村亚由美	ཀྲུང་ཚུན་ཡ་ཡོའུ་མེ་
七濑亚由美	ཆི་ལའེ་ཡ་ཡོའུ་མེ་
直木亚弓	ཀྲི་མུའུ་ཡ་ཀུང་
直濑遥步	ཀྲི་ལའེ་ཡའོ་པུའུ་
西川步	ཞི་ཁྲོན་པུའུ་
冈亚由美	ཀང་ཡ་ཡོའུ་མེ་
齐藤步	ཆི་ཐེང་པུའུ་
斋藤步	ཀྲའེ་ཐེང་པུའུ་
樱井亚弓	ཡིང་ཅིང་ཡ་ཀུང་
樱井亚由美	ཡིང་ཅིང་ཡ་ཡོའུ་མེ་
茂森亚由美	མའོ་སེན་ཡ་ཡོའུ་མེ་
谷口亚由美	ཀུའུ་ཁོའུ་ཡ་ཡོའུ་མེ་
时任步	ཧྲི་རེན་པུའུ་
上原步	ཧྲང་ཡོན་པུའུ་
渡边鲇美	ཏུའུ་པན་ནན་མེ་
渡濑亚由美	ཏུའུ་ལའེ་ཡ་ཡོའུ་མེ་
渡濑步	ཏུའུ་ལའེ་པུའུ་
山口亚由美	ཧྲན་ཁོའུ་ཡ་ཡོའུ་མེ་
